id,text,raw_output,reason,sentiment,isRetweet,isDeleted,device,favorites,retweets,date,isFlagged
1899637674241048800,"Elon Musk: âAs a function of the great policies of President Trump and his administration, and as an act of faith in America, Tesla is going to DOUBLE vehicle output in the United States within the next two yearsâ¦â https://t.co/g8jY77yxtP","Reason: great
Sentiment: positive",great,positive,na,na,na,326108,45470,2025-03-12 01:44:49+00:00,f
1904362652987429338,"FIGHT, FIGHT, FIGHT!!! https://t.co/irQ5B6TRE2","Reason: FIGHT,
Sentiment: neutral","FIGHT,",neutral,na,na,na,18507,3396,2025-03-25 02:40:12+00:00,f
1885473025476145386,"Photo of beautiful water flow that I just opened in California. Today, 1.6 billion gallons and, in 3 days, it will be 5.2 billion gallons. Everybody should be happy about this long fought Victory! I only wish they listened to me six years ago â There would have been no fire! https://t.co/Oaz92ZeiTh","Reason: happy
Sentiment: positive",happy,positive,na,na,na,548937,75238,2025-01-31 23:39:34+00:00,f
1885485623735124467,Just been informed that we are bringing six hostages home from Venezuela. Thank you to Ric Grenell and my entire staff. Great job!,"Reason: Great job!
Sentiment: positive",Great job!,positive,na,na,na,491723,48760,2025-02-01 00:29:37+00:00,f
1885739833399619760,"It is so good to have the Venezuela Hostages back home and, very important to note, that Venezuela has agreed to receive, back into their Country, all Venezuela illegal aliens who were encamped in the U.S., including gang members of Tren de Aragua. Venezuela has further agreed to","Reason: It is so good
Sentiment: positive",It is so good,positive,na,na,na,327260,42497,2025-02-01 17:19:46+00:00,f
1889529852757201368,"WELCOME HOME, MARC!ðºð¸ https://t.co/0b2Igcqudp","Reason: WELCOME HOME, MARC!
Sentiment: neutral","WELCOME HOME, MARC!",neutral,na,na,na,431417,49404,2025-02-12 04:19:57+00:00,f
1890831570535055759,He who saves his Country does not violate any Law.,"Reason: He who saves his Country does not violate any Law.
Sentiment: neutral",He who saves his Country does not violate any Law.,neutral,na,na,na,739658,101976,2025-02-15 18:32:31+00:00,f
1882156626028929186,Happy 20th Anniversary to Melania! https://t.co/VIcXSQb4QO,"Reason: Happy
Sentiment: positive",Happy,positive,na,na,na,1409539,91362,2025-01-22 20:01:23+00:00,f
1883195857237062111,MAKE AMERICA GREAT AGAIN! https://t.co/K6FkyX1AZp,"Reason: MAKE AMERICA GREAT AGAIN!
Sentiment: positive",MAKE AMERICA GREAT AGAIN!,positive,na,na,na,593990,56629,2025-01-25 16:50:55+00:00,f
1880446012168249386,My NEW Official Trump Meme is HERE! Itâs time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW. Go to https://t.co/GX3ZxT5xyq â Have Fun! https://t.co/flIKYyfBrC,"Reason: Have Fun!
Sentiment: positive",Have Fun!,positive,na,na,na,425439,70438,2025-01-18 02:44:00+00:00,f
1881419736648499257,Donald J. Trump Attends the Presidential Parade https://t.co/xath35WNXE,"Reason: Donald J. Trump Attends the Presidential Parade
Sentiment: neutral",Donald J. Trump Attends the Presidential Parade,neutral,na,na,na,440833,56047,2025-01-20 19:13:14+00:00,f
1883206626787881080,THE GOLDEN AGE OF AMERICA BEGINS RIGHT NOW! https://t.co/PSfDlAFpeO,"Reason: THE GOLDEN AGE OF AMERICA BEGINS RIGHT NOW!
Sentiment: neutral",THE GOLDEN AGE OF AMERICA BEGINS RIGHT NOW!,neutral,na,na,na,526206,72923,2025-01-25 17:33:42+00:00,f
1881073769449492971,President Trumpâs Celebratory Victory Rally https://t.co/MCKNpDh8kG,"Reason: President Trumpâs Celebratory Victory Rally
Sentiment: neutral",President Trumpâs Celebratory Victory Rally,neutral,na,na,na,491019,73525,2025-01-19 20:18:29+00:00,f
1881372933710589978,The 60th Presidential Inauguration Ceremony https://t.co/kTB4w2VCdI,"Reason: The 60th Presidential Inauguration Ceremony
Sentiment: neutral",The 60th Presidential Inauguration Ceremony,neutral,na,na,na,734094,117805,2025-01-20 16:07:16+00:00,f
1880058204706730287,"President Trumpâs swearing-in ceremony is in a few days, but you can still attend. 

He would be honored to have you at his Inauguration.

RSVP ðð","Reason: honored
Sentiment: positive",honored,positive,na,na,na,0,0,2025-01-17 01:03:00+00:00,f
1880058204685758689,"Donald J. Trump is headed back to the White House, and you're invited to our nation's capital to celebrate.

Make this historic Inauguration even more special.

RSVP BELOW.","Reason: special.
Sentiment: positive",special.,positive,na,na,na,0,0,2025-01-17 01:03:00+00:00,f
1880050402814476700,"The Trump Vance Inaugural Committee requests the honor of your presence at the Inauguration of Donald J. Trump.

Help welcome President Trump into his historic second term!

RSVP BELOW.","Reason: honor
Sentiment: positive",honor,positive,na,na,na,18,3,2025-01-17 00:32:00+00:00,f
1875050002046726519,"Our Country is a disaster, a laughing stock all over the World! This is what happens when you have OPEN BORDERS, with weak, ineffective, and virtually nonexistent leadership. The DOJ, FBI, and Democrat state and local prosecutors have not done their job. They are incompetent and","Reason: disaster,
Sentiment: negative","disaster,",negative,na,na,na,441472,65243,2025-01-03 05:22:11+00:00,f
1875049915367235899,"With the Biden âOpen Borderâs Policyâ I said, many times during Rallies, and elsewhere, that Radical Islamic Terrorism, and other forms of violent crime, will become so bad in America that it will become hard to even imagine or believe. That time has come, only worse than ever","Reason: bad
Sentiment: negative",bad,negative,na,na,na,248023,41329,2025-01-03 05:21:51+00:00,f
1875050089305252190,TRUMP WAS RIGHT ABOUT EVERYTHING!,"Reason: TRUMP WAS RIGHT ABOUT EVERYTHING!
Sentiment: positive",TRUMP WAS RIGHT ABOUT EVERYTHING!,positive,na,na,na,538070,56845,2025-01-03 05:22:32+00:00,f
1885740103223648412,"This morning I ordered precision Military air strikes on the Senior ISIS Attack Planner and other terrorists he recruited and led in Somalia. These killers, who we found hiding in caves, threatened the United States and our Allies. The strikes destroyed the caves they live in,","Reason: This morning I ordered precision Military air strikes on the Senior ISIS Attack Planner and other terrorists he recruited and led in Somalia. These killers, who we found hiding in caves, threatened the United States and our Allies. The strikes destroyed the caves they live in,
Sentiment: neutral","This morning I ordered precision Military air strikes on the Senior ISIS Attack Planner and other terrorists he recruited and led in Somalia. These killers, who we found hiding in caves, threatened the United States and our Allies. The strikes destroyed the caves they live in,",neutral,na,na,na,779475,102132,2025-02-01 17:20:50+00:00,f
1899636898533867969,"Number one, it's a great product, as good as it getsâand number two, because @ElonMusk has devoted his energy and his life to doing this and I think he has been treated very unfairlyâ¦ https://t.co/6qrfwrbT0f","Reason: Number one, it's a great product, as good as it getsâand number two, because @ElonMusk has devoted his energy and his life to doing this and I think he has been treated very unfairlyâ¦
Sentiment: neutral","Number one, it's a great product, as good as it getsâand number two, because @ElonMusk has devoted his energy and his life to doing this and I think he has been treated very unfairlyâ¦",neutral,na,na,na,396624,49476,2025-03-12 01:41:44+00:00,f
1875049777186136481,"The Tariffs, and Tariffs alone, created this vast wealth for our Country. Then we switched over to Income Tax. We were never so wealthy as during this period. Tariffs will pay off our debt and, MAKE AMERICA WEALTHY AGAIN! https://t.co/ZuAi9qCdai","Reason: MAKE AMERICA WEALTHY AGAIN!
Sentiment: positive",MAKE AMERICA WEALTHY AGAIN!,positive,na,na,na,147297,28783,2025-01-03 05:21:18+00:00,f
1874179147855257723,MAKE AMERICA GREAT AGAIN! https://t.co/IirB0lIah7,"Reason: MAKE AMERICA GREAT AGAIN!
Sentiment: neutral",MAKE AMERICA GREAT AGAIN!,neutral,na,na,na,448202,66077,2024-12-31 19:41:44+00:00,f
1870914841101340759,"A beautiful morning in Phoenix, Arizona at @TPUSA #AMFEST2024. THANK YOU! https://t.co/bMGsEBQGvl","Reason: beautiful
Sentiment: positive",beautiful,positive,na,na,na,177943,26879,2024-12-22 19:30:32+00:00,f
1867819780809666804,Will be going to the Army/Navy Game tomorrow to root on these fantastic young men. Should be a great game. See you there! DJT,"Reason: fantastic
Sentiment: positive",fantastic,positive,na,na,na,284765,20751,2024-12-14 06:31:52+00:00,f
1891572283161944433,"On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!

For purposes of this United States Policy, we will consider Countries that use the","Reason: On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!

For purposes of this United States Policy, we will consider Countries that use the
Sentiment: neutral","On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!",neutral,na,na,na,442889,69483,2025-02-17 19:35:50+00:00,f
1867686000711155989,"The Republican Party will use its best efforts to eliminate Daylight Saving Time, which has a small but strong constituency, but shouldnât! Daylight Saving Time is inconvenient, and very costly to our Nation.","Reason: inconvenient,
Sentiment: negative","inconvenient,",negative,na,na,na,440833,43522,2024-12-13 21:40:17+00:00,f
1874101153891295635,"We just won a Historic Landslide and Mandate from the American People, but Senate Democrats are organizing to improperly stall and delay the confirmation process of many of our Great Nominees. They will try all sorts of tricks starting very soon. Republicans must not allow them","Reason: improperly stall and delay the confirmation process of many of our Great Nominees.
Sentiment: negative",improperly stall and delay the confirmation process of many of our Great Nominees.,negative,na,na,na,357186,61317,2024-12-31 14:31:48+00:00,f
1867002787545965017,The resignation of Christopher Wray is a great day for America as it will end the Weaponization of what has become known as the United States Department of Injustice. I just donât know what happened to him. We will now restore the Rule of Law for all Americans. Under the,"Reason: great day fo
Sentiment: positive",great day fo,positive,na,na,na,361465,58500,2024-12-12 00:25:26+00:00,f
1880058204610257110,"Please accept the honor of attending President Donald J. Trumpâs swearing-in.

He wants all top supporters in attendance for this momentous day.

Confirm Inauguration attendance BELOW.","Reason: Please accept the honor of attending President Donald J. Trumpâs swearing-in.

He wants all top supporters in attendance for this momentous day.

Confirm Inauguration attendance BELOW.
Sentiment: neutral",Please accept the honor of attending President Donald J. Trumpâs swearing-in.,neutral,na,na,na,3,1,2025-01-17 01:03:00+00:00,f
1864898649752272919,"A GREAT HONOR, THANK YOU! https://t.co/ALfxh0BDX5","Reason: A GREAT HONOR, THANK YOU!
Sentiment: positive","A GREAT HONOR, THANK YOU!",positive,na,na,na,211313,32494,2024-12-06 05:04:20+00:00,f
1858956663711256605,"Iâm heading to the Great State of Texas to watch the launch of the largest object ever to be elevated, not only to Space, but simply by lifting off the ground. Good luck to @ElonMusk and the Great Patriots involved in this incredible project! https://t.co/UVpVSkpEyu","Reason: Good luck
Sentiment: positive",Good luck,positive,na,na,na,279002,31861,2024-11-19 19:33:01+00:00,f
1876089056817455175,"Members of Congress are getting to work on one powerful Bill that will bring our Country back, and make it greater than ever before. We must Secure our Border, Unleash American Energy, and Renew the Trump Tax Cuts, which were the largest in History, but we will make it even","Reason: Members of Congress are getting to work on one powerful Bill that will bring our Country back, and make it greater than ever before. We must Secure our Border, Unleash American Energy, and Renew the Trump Tax Cuts, which were the largest in History, but we will make it even
Sentiment: neutral","Members of Congress are getting to work on one powerful Bill that will bring our Country back, and make it greater than ever before. We must Secure our Border, Unleash American Energy, and Renew the Trump Tax Cuts, which were the largest in History, but we will make it even",neutral,na,na,na,331124,51435,2025-01-06 02:11:01+00:00,f
1858209912691572779,THANK YOU TO THE GREAT DANA WHITE AND #UFC309! https://t.co/0zsThFsyTD,"Reason: GREAT
Sentiment: positive",GREAT,positive,na,na,na,354610,40801,2024-11-17 18:05:41+00:00,f
1864358177728516252,"I am delighted to nominate Jared Isaacman, an accomplished business leader, philanthropist, pilot, and astronaut, as Administrator of the National Aeronautics and Space Administration (NASA). Jared will drive NASAâs mission of discovery and inspiration, paving the way for","Reason: I am delighted to nominate Jared Isaacman, an accomplished business leader, philanthropist, pilot, and astronaut, as Administrator of the National Aeronautics and Space Administration (NASA).
Sentiment: positive","I am delighted to nominate Jared Isaacman, an accomplished business leader, philanthropist, pilot, and astronaut, as Administrator of the National Aeronautics and Space Administration (NASA).",positive,na,na,na,245174,29276,2024-12-04 17:16:42+00:00,f
1865434273953509462,"Opposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up","Reason: Opposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up
Sentiment: neutral","Opposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up",neutral,na,na,na,465621,68822,2024-12-07 16:32:43+00:00,f
1859295102000067005,The Democrats are trying to stack the Courts with Radical Left Judges on their way out the door. Republican Senators need to Show Up and Hold the Line â No more Judges confirmed before Inauguration Day!,"Reason: The Democrats are trying to stack the Courts with Radical Left Judges on their way out the door. Republican Senators need to Show Up and Hold the Line â No more Judges confirmed before Inauguration Day!
Sentiment: neutral",The Democrats are trying to stack the Courts with Radical Left Judges on their way out the door. Republican Senators need to Show Up and Hold the Line â No more Judges confirmed before Inauguration Day!,neutral,na,na,na,316390,59064,2024-11-20 17:57:51+00:00,f
1856687752143900689,Thank you â So beautiful!!! https://t.co/zPLgq08xIv,"Reason: beautiful!!
Sentiment: positive",beautiful!!,positive,na,na,na,492111,37121,2024-11-13 13:17:10+00:00,f
1857755476378661190,âTHEY SAID HE WAS DONE FOREVERâ https://t.co/arqDRl9g6D,"Reason: âTHEY SAID HE WAS DONE FOREVERâ
Sentiment: neutral",âTHEY SAID HE WAS DONE FOREVERâ,neutral,na,na,na,280907,55492,2024-11-16 11:59:55+00:00,f
1868085790485758308,"Christmas is coming! The hottest gift is my new book, âSAVE AMERICA.â No other book captures our Movement, our Campaign, and our FUTURE. Get your copy today! https://t.co/awtik9uN8p https://t.co/YdteHKrdJk","Reason: Christmas is coming! The hottest gift is my new book, âSAVE AMERICA.â No other book captures our Movement, our Campaign, and our FUTURE. Get your copy today! https://t.co/awtik9uN8p https://t.co/YdteHKrdJk
Sentiment: neutral","Christmas is coming! The hottest gift is my new book, âSAVE AMERICA.â No other book captures our Movement, our Campaign, and our FUTURE. Get your copy today! https://t.co/awtik9uN8p https://t.co/YdteHKrdJk",neutral,na,na,na,140203,21898,2024-12-15 00:08:54+00:00,f
1862127644222832894,"Happy Thanksgiving to all, including to the Radical Left Lunatics who have worked so hard to destroy our Country, but who have miserably failed, and will always fail, because their ideas and policies are so hopelessly bad that the great people of our Nation just gave a landslide","Reason: Happy Thanksgiving to all, including to the Radical Left Lunatics who have worked so hard to destroy our Country, but who have miserably failed, and will always fail, because their ideas and policies are so hopelessly bad that the great people of our Nation just gave a landslide
Sentiment: neutral","Happy Thanksgiving to all, including to the Radical Left Lunatics who have worked so hard to destroy our Country, but who have miserably failed, and will always fail, because their ideas and policies are so hopelessly bad that the great people of our Nation just gave a landslide",neutral,na,na,na,857148,97688,2024-11-28 13:33:21+00:00,f
1863009545858998512,"The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Currency, nor back any other Currency to replace the mighty U.S. Dollar or, they","Reason: The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Currency, nor back any other Currency to replace the mighty U.S. Dollar or,
Sentiment: neutral","The idea that the BRICS Countries are trying to move away from the Dollar while we stand by and watch is OVER. We require a commitment from these Countries that they will neither create a new BRICS Currency, nor back any other Currency to replace the mighty U.S. Dollar or,",neutral,na,na,na,499910,73962,2024-11-30 23:57:43+00:00,f
1855736016025551351,HAPPY 249TH BIRTHDAY TO OUR GREAT U.S. MARINES!!! https://t.co/G1POepCNbx,"Reason: HAPPY
Sentiment: positive",HAPPY,positive,na,na,na,381527,44129,2024-11-10 22:15:18+00:00,f
1859305952945557883,"JUSTICE FOR LAKEN RILEY! The Illegal who killed our beloved Laken Riley was just found GUILTY on all counts for his horrific crimes. Although the pain and heartbreak will last forever, hopefully this can help bring some peace and closure to her wonderful family who fought for","Reason: JUSTICE FOR LAKEN RILEY! The Illegal who killed our beloved Laken Riley was just found GUILTY on all counts for his horrific crimes. Although the pain and heartbreak will last forever, hopefully this can help bring some peace and closure to her wonderful family who fought for
Sentiment: neutral","JUSTICE FOR LAKEN RILEY! The Illegal who killed our beloved Laken Riley was just found GUILTY on all counts for his horrific crimes. Although the pain and heartbreak will last forever, hopefully this can help bring some peace and closure to her wonderful family who fought for",neutral,na,na,na,451683,56593,2024-11-20 18:40:58+00:00,f
1861148158128169007,"These cases, like all of the other cases I have been forced to go through, are empty and lawless, and should never have been brought. Over $100 Million Dollars of Taxpayer Dollars has been wasted in the Democrat Partyâs fight against their Political Opponent, ME. Nothing like","Reason: These cases, like all of the other cases I have been forced to go through, are empty and lawless, and should never have been brought. Over $100 Million Dollars of Taxpayer Dollars has been wasted in the Democrat Partyâs fight against their Political Opponent, ME. Nothing like
Sentiment: negative","These cases, like all of the other cases I have been forced to go through, are empty and lawless, and should never have been brought. Over $100 Million Dollars of Taxpayer Dollars has been wasted in the Democrat Partyâs fight against their Political Opponent, ME. Nothing like",negative,na,na,na,408221,65546,2024-11-25 20:41:14+00:00,f
1857170020427595797,"I am thrilled to announce Robert F. Kennedy Jr. as The United States Secretary of Health and Human Services (HHS). For too long, Americans have been crushed by the industrial food complex and drug companies who have engaged in deception, misinformation, and disinformation when it","Reason: I am thrilled to announce Robert F. Kennedy Jr. as The United States Secretary of Health and Human Services (HHS). For too long, Americans have been crushed by the industrial food complex and drug companies who have engaged in deception, misinformation, and disinformation when it
Sentiment: neutral","I am thrilled to announce Robert F. Kennedy Jr. as The United States Secretary of Health and Human Services (HHS). For too long, Americans have been crushed by the industrial food complex and drug companies who have engaged in deception, misinformation, and disinformation when it",neutral,na,na,na,873809,128921,2024-11-14 21:13:32+00:00,f
1855692242981155259,"Any Republican Senator seeking the coveted LEADERSHIP position in the United States Senate must agree to Recess Appointments (in the Senate!), without which we will not be able to get people confirmed in a timely manner. Sometimes the votes can take two years, or more. This is","Reason: Any Republican Senator seeking the coveted LEADERSHIP position in the United States Senate must agree to Recess Appointments (in the Senate!), without which we will not be able to get people confirmed in a timely manner. Sometimes the votes can take two years, or more. This is
Sentiment: neutral","Any Republican Senator seeking the coveted LEADERSHIP position in the United States Senate must agree to Recess Appointments (in the Senate!), without which we will not be able to get people confirmed in a timely manner. Sometimes the votes can take two years, or more. This is",neutral,na,na,na,386210,74709,2024-11-10 19:21:22+00:00,f
1855404088734945765,"I am very surprised that the Democrats, who fought a hard and valiant fight in the 2020 Presidential Election, raising a record amount of money, didnât have lots of $âs left over. Now they are being squeezed by vendors and others. Whatever we can do to help them during this","Reason: I am very surprised that the Democrats, who fought a hard and valiant fight in the 2020 Presidential Election, raising a record amount of money, didnât have lots of $âs left over. Now they are being squeezed by vendors and others. Whatever we can do to help them during this
Sentiment: neutral","I am very surprised that the Democrats, who fought a hard and valiant fight in the 2020 Presidential Election, raising a record amount of money, didnât have lots of $âs left over. Now they are being squeezed by vendors and others. Whatever we can do to help them during this",neutral,na,na,na,582653,59125,2024-11-10 00:16:21+00:00,f
